TASK #456 BUILD_RUNTIME STALENESS SWEEP MANIFEST
Date: 2026-06-10
Compiler snapshot: /tmp/runac_sweep (copy of v0.0.8.4.5.3.5/stage1/runac, 1039784 bytes, taken 09:11)
Invocation: /tmp/runac_sweep <src> <out.s> from v0.0.8.5 root; as <out.s> -o <out.o>; cmp vs installed.
Exception: runtime_overrides.o compiled from inside build_runtime/ (bare filename) to preserve its
  original path-derived module_init symbol name (runtime_overrides__module_init); no object references
  either name, but the original invocation style was reproduced. Body drift was genuine and refreshed.

Totals: 383 objects = 204 IDENTICAL / 154 REFRESHED / 25 SKIP (owner-mandated families:
  mir_*, lowering_*, lir_lir_builder, hir_* [incl. hir_to_julia], net family: p4snap_net_*,
  ipv4_address, ipv6_address, url). 0 unmappable, 0 compile failures, 0 assemble failures.
REFRESHED objects: stale copy preserved as <name>.o.stale456. 44 sibling .s files also refreshed
  (stale copy as <name>.s.stale456). Drift cause: objects predated the promoted stage1's local
  Display helper routines (print_string_nonl/print_integer_nonl etc.); global symbol sets verified
  unchanged for all 154 (single exception documented above).
Mapping method: defined-symbol prefix <dir>_<file>__ from nm, resolved against the source tree;
  ambiguous cases (8 mc_* arch files, 2 sys_security_*) resolved to compiler/backend paths and
  confirmed by byte-identity or matching global symbol sets; unicode_tables.o confirmed via
  UNICODE_COMPOSITION_TABLE definition in compiler/internal/unicode_tables.runa.

FORMAT: object | source | status

build_runtime/analysis_alias_analysis.o|compiler/middle/analysis/alias_analysis.runa|REFRESHED
build_runtime/analysis_call_graph.o|compiler/middle/analysis/call_graph.runa|REFRESHED
build_runtime/analysis_control_flow.o|compiler/middle/analysis/control_flow.runa|REFRESHED
build_runtime/analysis_data_flow.o|compiler/middle/analysis/data_flow.runa|REFRESHED
build_runtime/analysis_points_to.o|compiler/middle/analysis/points_to.runa|REFRESHED
build_runtime/analysis_profile_guided.o|compiler/middle/analysis/profile_guided.runa|REFRESHED
build_runtime/arc_arc_utils.o|runtime/stdlib/arc/arc_utils.runa|IDENTICAL
build_runtime/bytecode_gen_aott_bytecode.o|compiler/backend/bytecode_gen/aott_bytecode.runa|REFRESHED
build_runtime/driver_compile_orchestrator.o|compiler/driver/compile_orchestrator.runa|REFRESHED
build_runtime/driver_target_manager.o|compiler/driver/target_manager.runa|IDENTICAL
build_runtime/emitter_common.o|compiler/middle/gungnir/hir/translation/backends/emitter_common.runa|REFRESHED
build_runtime/hir_hir.o|compiler/middle/gungnir/hir/hir.runa|SKIP
build_runtime/hir_hir_builder.o|compiler/middle/gungnir/hir/hir_builder.runa|SKIP
build_runtime/hir_hir_nodes.o|compiler/middle/gungnir/hir/hir_nodes.runa|SKIP
build_runtime/hir_hir_visitor.o|compiler/middle/gungnir/hir/hir_visitor.runa|SKIP
